_id,text,metadata
9088,Brokerage account for charity,{}
3091,Am I considered in debt if I pay a mortgage?,{}
1157,Personal taxes for Shopify / Paypal shop?,{}
4335,What is the US Fair Tax?,{}
8947,Can a Roth IRA be used as a savings account?,{}
6410,Will an ETF immediately reflect a reconstitution of underlying index,{}
5196,I might use a credit card convenience check. What should I consider?,{}
8789,What does “profits to the shareholders jumped to 15 cents a share” mean?,{}
5808,How do you calculate return on investment for a share of stock?,{}
9701,How to bet against the London housing market?,{}
3179,"Calculation, timing, and taxes related to profit distribution of an S-corp?",{}
6896,"Selling high, pay capital gains, re-purchase later",{}
2513,How does revenue shared with someone else go into my tax return in Canada?,{}
8937,“In-the-Money” vs “Out-of-the-Money” Call Options,{}
9643,Is there any public data available to determine an ETF's holdings?,{}
5653,Steps and timing of the SEIS investment (in the UK),{}
2551,How to find cheaper alternatives to a traditional home telephone line?,{}
1948,Which colors can one use to fill out a check in the US?,{}
4920,Does financing a portfolio on margin affect the variance of a portfolio?,{}
2589,How can I detect potential fraud in a company before investing in them?,{}
7513,Where are Bogleheadian World ETFs or Index funds?,{}
5410,Dealership made me the secondary owner to my own car,{}
2334,How do you determine “excess cash” for Enterprise Value calculations from a balance sheet?,{}
1783,Freelancing Tax implication,{}
4641,Where should I park my rainy-day / emergency fund?,{}
1469,Why do some companies report how well their EBITDA performed even if their overall net profit did equally well?,{}
10267,How should I prepare for the next financial crisis?,{}
3771,Best way to buy Japanese yen for travel?,{}
10497,Why would you elect to apply a refund to next year's tax bill?,{}
2472,How do I deal with a mistaken attempt to collect a debt from me that is owed by someone else?,{}
503,Privacy preferences on creditworthiness data,{}
6832,incorrect printed information on check stock,{}
864,Why use accounting software like Quickbooks instead of Excel spreadsheets?,{}
2580,Stock market vs. baseball card trading analogy,{}
6625,What does a high theta mean for an option position?,{}
2685,What ways are there for us to earn a little extra side money?,{}
68,Intentions of Deductible Amount for Small Business,{}
813,Income Tax and Investments,{}
7345,What do these numbers mean? (futures),{}
8970,"What's the difference, if any, between stock appreciation and compound interest?",{}
7105,What is the difference between fixed-income duration and equity duration?,{}
1310,Is is possible to take a mortgage using Bitcoin as collateral?,{}
9060,Buying puts without owning underlying,{}
2549,How to graph the market year over year? for example Dow Jones Index,{}
559,"Challenged an apparently bogus credit card charge, what happens now?",{}
7218,What margin is required to initiate and maintain a short sale,{}
2400,Will I be paid dividends if I own shares?,{}
2348,Why can't you just have someone invest for you and split the profits (and losses) with him?,{}
3615,My previous and current employers both use Fidelity for 401(k). Does it make sense to rollover?,{}
8102,When do I sell a stock that I hold as a long-term position?,{}
5155,"For insurance, why should you refuse $4,000/year for only 10 years and prefer $500/year indefinitely?",{}
2460,What are the consequences of not respecting a notice period when leaving a job?,{}
2399,Where do web sites get foreign exchange currency rate / quote information?,{}
4071,"If our economy crashes, and cash is worthless, should i buy gold or silver",{}
18,1 EIN doing business under multiple business names,{}
2306,To whom should I report fraud on both of my credit cards?,{}
3051,What items are exempt from the VAT? [U.K.],{}
2395,Freelance site with lowest commission fees?,{}
5134,Why does Yahoo Finance's data for a Vanguard fund's dividend per share not match the info from Vanguard?,{}
5343,“International credit report” for French nationals?,{}
5254,How do I calculate the quarterly returns of a stock index?,{}
3049,How to calculate my estimated taxes. 1099 MISC + Self Employment,{}
7509,Investment Portfolio Setup for beginner,{}
5067,LLC: Where should the funds for initial startup costs come from?,{}
8456,What typically happens to unvested stock during an acquisition?,{}
10734,How do you translate a per year salary into a part-time per hour job?,{}
5178,Formula that predicts whether one is better off investing or paying down debt,{}
9174,Which U.S. online discount broker is the best value for money?,{}
988,Where should I invest my savings?,{}
2154,"What tax software automatically determines the best filing status, etc?",{}
9646,Do common stocks and preferred stocks have any differences in terms of percentage of the company per unit they represent?,{}
3033,Tax consequences of changing state residency?,{}
15,Can I send a money order from USPS as a business?,{}
6612,"If I have a lot of debt and the housing market is rising, should I rent and slowly pay off my debt or buy and roll the debt into a mortgage?",{}
5940,How does investment into a private company work?,{}
9385,Meaning of reinvestment,{}
9332,What can I do with a physical stock certificate for a now-mutual company?,{}
8275,Buy/Selling prices at the stock exchange represent someone Selling/Buying at that price?,{}
4785,What is the difference between a structured collar and a normal collar in finance?,{}
4465,How to donate to charity that will make a difference?,{}
7279,"If I invest in securities denominated in a foreign currency, should I hedge my currency risk?",{}
7431,Pay off mortgage or invest in high value saving account,{}
2118,What happened in Argentina in 2001 bank sector? did the banks closed? all or some?,{}
5380,"Can somebody explain “leveraged debt investment positions” and “exposures” in this context for me, please?",{}
3404,"In US, is it a good idea to hire a tax consultant for doing taxes?",{}
6420,Does the bid/ask concept exist in dealer markets?,{}
9961,Employer rollover from 403b to 401k?,{}
8079,Growth rate plus dividend yieid total?,{}
