_id,text,metadata,text_length
1309,Why does FlagStar Bank harass you about payments within grace period?,{},11
8351,What happens when a calendar spread is assigned in a non-margin account?,{},12
6441,Trading with Settled / Unsettled Funds (T+3),{},7
4837,"When applying for a mortgage, can it also cover outstanding debts?",{},11
9871,What should I do with the 50k I have sitting in a European bank?,{},14
3067,Should I make extra payments to my under water mortgage or increase my savings?,{},14
5741,Learning investing and the stock market,{},6
3566,"Where can I buy stocks if I only want to invest a little bit at a time, and not really be involved in trading?",{},24
5862,Can I get a discount on merchandise by paying with cash instead of credit?,{},14
8779,How does a defined contribution plan work,{},7
4714,Personal finance app where I can mark transactions as “reviewed”?,{},10
7311,"Finance, Social Capital IPOA.U",{},4
109,How to account for money earned and spent prior to establishing business bank accounts?,{},14
570,Employer options when setting up 401k for employees,{},8
6959,What is the term for the quantity (high price minus low price) for a stock?,{},15
90,Filing personal with 1099s versus business s-corp?,{},7
5064,How much should a graduate student attempt to save?,{},9
4103,What causes US Treasury I bond fixed interest to increase?,{},10
1198,What are the consequences of IRS “reclassification” on both employer and employee?,{},12
4539,How should I save money if the real interest rate (after inflation) is negative?,{},14
9391,Should I replace bonds in a passive investment strategy,{},9
4600,"Why government bonds fluctuate so much, even though interest rates don't change that often?",{},14
3735,Shorting Stocks And Margin Account Minimum,{},6
5422,"What are some good books for learning stocks, bonds, derivatives e.t.c for beginner with a math background?",{},17
744,What options are available for a home loan with poor credit but a good rental history?,{},16
515,financial institution wants share member break down for single member LLC,{},11
2443,What are some way to transfer money from Hong Kong to India on a monthly basis?,{},16
4265,Does it make any sense to directly contribute to reducing the US national debt?,{},14
4865,Why are historical prices of stocks different on different websites? Which one should I believe?,{},15
2968,Should I prioritize retirement savings inside of my HSA?,{},9
7221,How Technical Analysts react to non-market hours effects,{},8
2407,How long to wait after getting a mortgage to increase my credit limit?,{},13
3039,Can increasing my tax withholding from my full-time job cover FICA taxes for my freelance work?,{},16
1748,"How high should I set my KickStarter funding goal in order to have $35,000 left over?",{},16
10547,How much do brokerages pay exchanges per trade?,{},8
10596,Does a market maker sell (buy) at a bid or ask price?,{},12
5061,What fiscal scrutiny can be expected from IRS in early retirement?,{},11
853,What will my taxes be as self employed?,{},8
6803,What are the common moving averages used in a “Golden Cross” stock evaluation?,{},13
6644,How to know precisely when a SWIFT is issued by a bank?,{},12
699,Prepaid Rent (Accrual Based Accounting),{},5
549,Where to request ACH Direct DEBIT of funds from MY OWN personal bank account?,{},14
904,How do I set up Quickbooks for a small property rental company that holds its properties in separate LLC's?,{},19
2590,Are non-residents or foreigners permitted to buy or own shares of UK companies?,{},13
1451,"How do you find an ethical, honest independent insurance broker in Canada?",{},12
5790,FX losses on non-UK mortgage for UK property - tax deductable?,{},11
7295,Selling non-dividend for dividend stocks,{},5
5083,Co-signer deceased,{},2
7936,Why naked call writing is risky compare to Covered call?,{},10
8296,Can the beta of a stock be used as a lagging indicator for the stock w.r.t the market,{},18
475,Do I need a new EIN since I am hiring employees for my LLC?,{},14
3759,Simplifying money management,{},3
4615,Are solar cell panels and wind mills worth the money?,{},10
8874,When can you adjust for (and re-allow) a disallowed year-end (December) wash-sale loss?,{},13
26,Applying for and receiving business credit,{},6
3875,Does freedom to provide services allow me contracting in Germany without paying taxes there (but in my home EU country)?,{},20
6835,Are bond ETF capital gains taxed similar to stock or stock funds if held for more than 1 year?,{},19
4433,When should you use an actively managed mutual fund in a 401k?,{},12
5374,What were the main causes of the spike and drop of DRYS's stock price?,{},14
6221,"To pay off a student loan, should I save up a lump sum payoff payment or pay extra each month?",{},20
672,Credit and Debit,{},3
2593,Am I “cheating the system” by opening up a tiny account with a credit union and then immediately applying for a huge loan?,{},23
4019,How and Should I Invest (As a college 18 year old with minimal living expenses)?,{},15
7205,Is it possible to see option prices from the past?,{},10
6611,How does Vanguard determine the optimal asset allocation for their Target Retirement Funds?,{},13
7911,What is the difference between a 'trader' and a 'stockbroker'?,{},10
7463,Pros/cons of borrowing money using a mortgage loan and investing it in a low-fee index fund?,{},16
4999,Looking for a good source for Financial Statements,{},8
7344,How is the Dow divisor calculated?,{},6
7705,Why would I pick a specific ETF over an equivalent Mutual Fund?,{},12
1815,Rules for SEP contributions in an LLC?,{},7
7467,Stocks are traded on secondary markets?,{},6
8013,Frequency of investments to maximise returns (and minimise fees),{},9
1415,I am not VAT registered. Do I need to buy from my supplier with excl VAT prices or incl VAT?,{},20
7758,Bid/ask spreads for index funds,{},5
1915,Should I pay a company who failed to collect VAT from me over 6 months ago?,{},16
4415,How much is inflation?,{},4
10482,Rollover into bond fund to do dollar cost averaging [duplicate],{},10
2296,How does a bank make money on an interest free secured loan?,{},12
6787,"Would it make sense to sell a stock, then repurchase it for tax purposes?",{},14
2857,"I have around 60K $. Thinking about investing in Oil, how to proceed?",{},13
753,Taxes due for hobbyist Group Buy,{},6
2676,Tax question about selling a car,{},6
7456,What is market order's relation to bid ask spread?,{},9
2579,What to do when a job offer is made but with a salary less than what was asked for?,{},19
687,Online tool to connect to my bank account and tell me what I spend in different categories?,{},17
2445,How do I notify the IRS of a new member to an LLC?,{},13
2885,Merits of buying apartment houses and renting them,{},8
5264,Does a company's stock price give any indication to or affect their revenue?,{},13
7633,Can a trade happen “in between” the bid and ask price?,{},11
9291,Are there any consequences for investing in Vanguard's Admiral Shares funds instead of ETF's in a Roth IRA?,{},18
4640,What can my relatives do to minimize their out of pocket expenses on their fathers estate,{},16
939,How to correct a tax return filed electronically and already approved?,{},11
1306,"I made an investment with a company that contacted me, was it safe?",{},13
8475,Why I cannot find a “Pure Cash” option in 401k investments?,{},11
6807,How to incorporate dividends while calculating annual return of a Stock,{},11
5228,How does the bank/IRS know whether a bank transfer over $14k is a gift or loan repayment?,{},17
2856,How can I cash out a check internationally?,{},8
3791,"""When people say 'Interest rates are at all time low!"""" … Which interest rate are they actually referring to?""",{},19
4514,"What intrinsic, non-monetary value does gold have as a commodity?",{},10
6122,Better to rent condo to daughter or put her on title?,{},11
8832,Is it possible to buy commodity ETFs (e.g. silver) through Questrade?,{},11
7145,Are there “buy and hold” passively managed funds?,{},8
7674,Choosing the limit when making a limit order?,{},8
8202,What accounted for DXJR's huge drop in stock price?,{},9
3682,Short selling - lender's motivation,{},5
3446,What's the difference between Term and Whole Life insurance?,{},9
7592,few question about debit credit and liabilities,{},7
6715,What does it mean if “IPOs - normally are sold with an `underwriting discount` (a built in commission)”,{},18
2264,Personal Tax Return software for Linux?,{},6
6121,What are my best options if I don't have a lot of credit lines for housing loans?,{},17
3453,How does spot-futures arbitrage work in the gold market?,{},9
6985,"Bed and Breakfast, Same Day Capital Gains UK",{},8
2181,What are the risks & rewards of being a self-employed independent contractor / consultant vs. being a permanent employee?,{},19
8532,What do these options trading terms mean?,{},7
4312,Is it true that 90% of investors lose their money?,{},10
9108,"Starting an investment portfolio with Rs 5,000/-",{},7
8116,A-B-C Class Shares: What's the difference?,{},6
9403,Abundance of Cash - What should I do?,{},8
776,"Can saving/investing 15% of your income starting age 25, likely make you a millionaire?",{},14
6199,How can all these countries owe so much money?  Why & where did they borrow it from?,{},17
1393,"Which is better when working as a contractor, 1099 or incorporating?",{},11
9668,Do stock option prices predicate the underlying stock's movement?,{},9
9088,Brokerage account for charity,{},4
3091,Am I considered in debt if I pay a mortgage?,{},10
1157,Personal taxes for Shopify / Paypal shop?,{},7
4335,What is the US Fair Tax?,{},6
8947,Can a Roth IRA be used as a savings account?,{},10
6410,Will an ETF immediately reflect a reconstitution of underlying index,{},10
5196,I might use a credit card convenience check. What should I consider?,{},12
8789,What does “profits to the shareholders jumped to 15 cents a share” mean?,{},13
5808,How do you calculate return on investment for a share of stock?,{},12
9701,How to bet against the London housing market?,{},8
3179,"Calculation, timing, and taxes related to profit distribution of an S-corp?",{},11
6896,"Selling high, pay capital gains, re-purchase later",{},7
2513,How does revenue shared with someone else go into my tax return in Canada?,{},14
8937,“In-the-Money” vs “Out-of-the-Money” Call Options,{},5
9643,Is there any public data available to determine an ETF's holdings?,{},11
5653,Steps and timing of the SEIS investment (in the UK),{},10
2551,How to find cheaper alternatives to a traditional home telephone line?,{},11
1948,Which colors can one use to fill out a check in the US?,{},13
4920,Does financing a portfolio on margin affect the variance of a portfolio?,{},12
2589,How can I detect potential fraud in a company before investing in them?,{},13
7513,Where are Bogleheadian World ETFs or Index funds?,{},8
5410,Dealership made me the secondary owner to my own car,{},10
2334,How do you determine “excess cash” for Enterprise Value calculations from a balance sheet?,{},14
1783,Freelancing Tax implication,{},3
4641,Where should I park my rainy-day / emergency fund?,{},9
1469,Why do some companies report how well their EBITDA performed even if their overall net profit did equally well?,{},19
10267,How should I prepare for the next financial crisis?,{},9
3771,Best way to buy Japanese yen for travel?,{},8
10497,Why would you elect to apply a refund to next year's tax bill?,{},13
2472,How do I deal with a mistaken attempt to collect a debt from me that is owed by someone else?,{},20
503,Privacy preferences on creditworthiness data,{},5
6832,incorrect printed information on check stock,{},6
864,Why use accounting software like Quickbooks instead of Excel spreadsheets?,{},10
2580,Stock market vs. baseball card trading analogy,{},7
6625,What does a high theta mean for an option position?,{},10
2685,What ways are there for us to earn a little extra side money?,{},13
68,Intentions of Deductible Amount for Small Business,{},7
813,Income Tax and Investments,{},4
7345,What do these numbers mean? (futures),{},6
8970,"What's the difference, if any, between stock appreciation and compound interest?",{},11
7105,What is the difference between fixed-income duration and equity duration?,{},10
1310,Is is possible to take a mortgage using Bitcoin as collateral?,{},11
9060,Buying puts without owning underlying,{},5
2549,How to graph the market year over year? for example Dow Jones Index,{},13
559,"Challenged an apparently bogus credit card charge, what happens now?",{},10
7218,What margin is required to initiate and maintain a short sale,{},11
2400,Will I be paid dividends if I own shares?,{},9
2348,Why can't you just have someone invest for you and split the profits (and losses) with him?,{},17
3615,My previous and current employers both use Fidelity for 401(k). Does it make sense to rollover?,{},16
8102,When do I sell a stock that I hold as a long-term position?,{},13
5155,"For insurance, why should you refuse $4,000/year for only 10 years and prefer $500/year indefinitely?",{},15
2460,What are the consequences of not respecting a notice period when leaving a job?,{},14
2399,Where do web sites get foreign exchange currency rate / quote information?,{},12
4071,"If our economy crashes, and cash is worthless, should i buy gold or silver",{},14
18,1 EIN doing business under multiple business names,{},8
2306,To whom should I report fraud on both of my credit cards?,{},12
3051,What items are exempt from the VAT? [U.K.],{},8
2395,Freelance site with lowest commission fees?,{},6
5134,Why does Yahoo Finance's data for a Vanguard fund's dividend per share not match the info from Vanguard?,{},18
5343,“International credit report” for French nationals?,{},6
5254,How do I calculate the quarterly returns of a stock index?,{},11
3049,How to calculate my estimated taxes. 1099 MISC + Self Employment,{},11
7509,Investment Portfolio Setup for beginner,{},5
5067,LLC: Where should the funds for initial startup costs come from?,{},11
8456,What typically happens to unvested stock during an acquisition?,{},9
10734,How do you translate a per year salary into a part-time per hour job?,{},14
5178,Formula that predicts whether one is better off investing or paying down debt,{},13
9174,Which U.S. online discount broker is the best value for money?,{},11
988,Where should I invest my savings?,{},6
2154,"What tax software automatically determines the best filing status, etc?",{},10
9646,Do common stocks and preferred stocks have any differences in terms of percentage of the company per unit they represent?,{},20
3033,Tax consequences of changing state residency?,{},6
15,Can I send a money order from USPS as a business?,{},11
6612,"If I have a lot of debt and the housing market is rising, should I rent and slowly pay off my debt or buy and roll the debt into a mortgage?",{},31
5940,How does investment into a private company work?,{},8
9385,Meaning of reinvestment,{},3
9332,What can I do with a physical stock certificate for a now-mutual company?,{},13
8275,Buy/Selling prices at the stock exchange represent someone Selling/Buying at that price?,{},12
4785,What is the difference between a structured collar and a normal collar in finance?,{},14
4465,How to donate to charity that will make a difference?,{},10
7279,"If I invest in securities denominated in a foreign currency, should I hedge my currency risk?",{},16
7431,Pay off mortgage or invest in high value saving account,{},10
2118,What happened in Argentina in 2001 bank sector? did the banks closed? all or some?,{},15
5380,"Can somebody explain “leveraged debt investment positions” and “exposures” in this context for me, please?",{},15
3404,"In US, is it a good idea to hire a tax consultant for doing taxes?",{},15
6420,Does the bid/ask concept exist in dealer markets?,{},8
9961,Employer rollover from 403b to 401k?,{},6
8079,Growth rate plus dividend yieid total?,{},6
